zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60002,41.093879,-88.08966742,42.46807222,1.482004234,4.499730356,100.1,41.1,22.4,25.50807059,107963,6.36636,0.066287,2.0608,1.2837,5.114175,88.55,42,2792,,,3,23914,11960,11954,6100,17,0.02724,945,210.161301,2020
60004,11.386931,-87.97868368,42.11219304,4.332237825,0.614739828,94.1,40.8,25.6,42.11129233,125501,8.416948,0.693936,1.7572,1.2382,17.690892,79.74,145,3202,4,7,5,51504,24964,26540,21689,55,0.079018,1383,201.444962,2020
60005,8.425743,-87.98788385,42.05763045,3.244622676,0.237367791,102.8,41.3,26.2,39.71967433,113375,8.147511,2.212541,1.6221,1.1703,14.543879,77.76,89,2654,1,2,4,29109,14755,14354,11562,118,0.186423,735,122.542985,2020
60007,15.824509,-87.9963691,42.00942029,3.195543829,0.631931139,91.1,41.5,26.8,28.28128812,105563,7.63638,0.95177,1.81,1.2564,11.873361,80.72,109,3302,4,10,11,32792,15628,17164,9274,105,0.150613,1043,187.890115,2020
60008,5.24462,-88.02261469,42.07462963,2.034358047,5.720147504,105.9,43.2,20.2,26.46885082,87247,8.341913,2.47507,1.8073,1.3646,18.520221,71.2,45,2167,3,30,3,22007,11319,10688,5825,37,0.129808,726,97.131523,2020
60010,72.476455,-88.16537224,42.15484946,11.57943492,0.124178259,93.9,39.9,26.7,48.77174805,171028,6.460197,0.295991,2.1458,1.2111,6.15294,80.93,500,3818,5,9,0,46326,22431,23895,22594,78,0.214524,2000,445.943315,2020
60012,18.564262,-88.31020842,42.27288891,3.52303523,0.215467763,90.7,44.3,21.4,42.0478352,141926,6.425031,0.342125,2.2491,1.5471,6.461569,96,39,1068,1,4,1,11456,5449,6007,4817,40,0.063513,392,119.954258,2020
60013,15.345235,-88.23492069,42.22108851,2.156224573,4.499730356,103.1,43.9,19.4,32.30015083,119554,7.454849,0.239436,2.1779,1.5018,8.749195,92.91,53,2405,,,0,26520,13463,13057,8566,34,0.036742,595,134.258455,2020
60014,24.982459,-88.32629601,42.23065441,2.238283982,0.160112341,104.7,42,21.1,27.18175223,104798,7.536874,0.342632,2.0073,1.3606,10.305994,90.99,96,4193,3,4,7,46866,23973,22893,12739,68,0.085598,1222,257.469065,2020
60015,13.519322,-87.87472084,42.17279184,12.88998358,4.499730356,97.7,39.6,26,56.0834385,182091,7.597322,1.392969,1.9218,1.2799,11.320843,90.21,314,2122,,,8,26942,13313,13629,15110,100,0.18832,936,153.050128,2020
60016,10.126296,-87.89186712,42.04821867,3.02425107,0.59251675,91.9,41.7,25.9,31.92263212,86427,8.681332,1.17423,1.7014,1.2827,16.212678,65.16,106,3399,3,6,7,59663,28567,31096,19046,79,0.118906,1148,164.174373,2020
