OBJECTID,zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_white,Pct_white_fixed,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,EVCS_den,CS_cnt_22,CS_pt_22,FS_cnt,FuelVeh_Cnt,num_EV22_12,Pking_sum,len_cnt,len_mile,num_bachelor,Pop_22
1,60002,41.093879,-88.08966742,42.46807222,3.857566766,0.048669049,102.8,39.4,23.1,84.94,84.94,25.79309779,123411,6.386397,0.086799,2.0876,1.2778,4.671239,0.024335,1,2,3,2592,104,0.03566916,994,180.041598,6293,24398
2,60004,11.386931,-87.97868368,42.11219304,10.88476741,0.614739828,100.2,41,25.3,75.84,75.84,43.91346836,144667,8.430161,0.97301,1.7454,1.2747,17.655272,0.35128,4,7,5,2931,358,0.11079564,1440,185.367965,22918,52189
3,60005,8.425743,-87.98788385,42.05763045,9.010526316,0.949471162,98,41.4,26.5,72.76,72.76,40.91593647,123122,8.15118,2.454422,1.5677,1.1288,14.233026,0.474736,4,8,4,2161,214,0.20680226,746,104.833801,11954,29216
4,60007,15.824509,-87.9963691,42.00942029,6.818934128,0.631931139,92.2,41.6,25.9,75.55,75.55,29.71801758,117793,7.635648,1.19842,1.8278,1.2991,11.516428,0.252772,4,10,11,2815,206,0.18964403,1112,169.615287,9738,32768
5,60008,5.24462,-88.02261469,42.07462963,5.35174795,6.482833837,101.8,43.7,19.7,63.48,63.48,29.22188689,104181,8.380072,2.081053,1.8079,1.372,18.082684,0.953358,5,34,3,2193,124,0.10914293,772,82.527314,6681,22863
6,60010,72.476455,-88.16537224,42.15484946,21.97626654,0.579498542,95.8,37.9,28.9,80.49,80.49,49.71932982,195137,6.467681,0.316911,2.0926,1.1807,6.181534,0.275952,20,42,0,3419,963,0.22968594,2248,428.763938,23206,46674
7,60012,18.564262,-88.31020842,42.27288891,8.227848101,0.323201644,90.3,41.1,21.7,89.21,89.21,39.9795501,160543,6.449178,0.338348,2.2143,1.5583,6.458727,0.107734,2,6,1,1015,91,0.06281194,417,86.411572,4692,11736
8,60013,15.345235,-88.23492069,42.22108851,5.228215768,0,104.3,42.3,21.6,88.7,88.7,31.19622325,130412,7.445226,0.24233,2.1149,1.4343,8.708809,0,0,0,0,2284,126,0.03718604,618,128.012316,8194,26266
9,60014,24.982459,-88.32629601,42.23065441,5.603242728,0.160112341,101.6,41.3,21.6,87.02,87.02,28.59701861,116021,7.572546,0.486242,1.992,1.35,10.407548,0.120084,3,4,7,3959,235,0.12147536,1281,235.502477,13889,48568
10,60015,13.519322,-87.87472084,42.17279184,26.09406953,0.81365027,103,39.4,25.9,87.78,87.78,56.97862403,213269,7.62993,1.490975,1.9014,1.3129,11.150074,0.295873,4,11,8,1807,638,0.20156935,1025,137.297845,15860,27835
11,60016,10.126296,-87.89186712,42.04821867,8.461538462,0.987527917,94.8,40.4,26.7,60.06,60.06,31.34154998,95396,8.71956,1.030983,1.6562,1.2281,16.224271,0.395011,4,10,7,3213,297,0.10440041,1187,150.405055,19428,61988
12,60018,9.244896,-87.89529277,42.00997982,14.39698932,8.112584501,103.6,40,22.4,61.93,61.93,19.07356003,87733,8.044753,3.98914,1.8773,1.3628,14.125288,1.730685,16,75,10,9781,1645,0.36879198,1146,123.954458,5497,28820
13,60020,7.299643,-88.17183141,42.39862881,3.58649789,0,87.1,42,27.4,84.27,84.27,20.12487558,105585,7.322451,0.920218,1.7437,1.0639,7.713553,0,0,0,6,914,34,0.0671722,445,48.426671,2224,11051
14,60021,2.2744,-88.21862908,42.19469212,7.766990291,0,91.4,45.2,21,86.61,86.61,33.41027121,125167,7.734505,0.064084,1.922,1.457,16.034361,0,0,0,2,475,40,0.00145753,176,30.125393,1737,5199
15,60022,4.166859,-87.76688973,42.1361817,41.76610979,0.479977844,92.6,37.8,26.4,94.17,94.17,57.62691992,250000,7.624065,0.677771,2.019,1.0662,12.064927,0.239989,1,2,0,488,350,0.02824203,309,43.693314,4915,8529
16,60025,11.522825,-87.82185973,42.07524704,18.14984172,2.082822572,92.3,37.3,30.2,73.65,73.65,49.01365706,147545,8.173528,1.035341,1.8105,1.1859,14.408379,0.694274,8,24,7,2327,516,0.11930028,1362,156.176223,20026,40858
17,60026,4.001853,-87.83758608,42.0920387,31.29102845,0,87.3,37.2,31.2,66.13,66.13,48.22627688,191607,8.211766,3.234228,1.7455,1.1469,15.7235,0,0,0,0,628,286,0.12943058,557,52.918747,7110,14743
18,60029,0.431188,-87.78489303,42.05846624,22.58064516,0,114.1,41.6,25.1,84.25,84.25,53.2967033,236250,7.14383,1.179685,2.1804,1.2423,9.027188,0,0,0,0,48,14,0.0050868,18,2.508391,291,546
19,60030,30.625952,-88.04936964,42.33157555,6.890521161,0.424476601,106,38.5,25.9,78.32,78.32,36.22213575,128892,7.068815,0.518735,1.8429,1.248,7.041788,0.228564,7,13,1,2662,197,0.15886788,996,174.161507,13032,35978
20,60031,18.935159,-87.94144976,42.37456668,7.016229713,0.105623618,96.7,40,21.8,67.69,67.69,38.7398527,141070,7.583097,2.294813,1.8877,1.352,10.831714,0.052812,1,2,7,3724,281,0.43452751,1484,178.196804,14412,37202
21,60033,115.565459,-88.60663159,42.42341826,1.023308698,0.008653105,96.3,35.1,22.9,80.82,80.82,12.3987034,82466,4.766074,0.105098,2.059,1.1889,1.678561,0.008653,1,1,2,1741,18,0.12145658,439,181.383155,1683,13574
22,60034,30.803744,-88.42325057,42.45908842,1.083032491,0,89.6,36.8,24.8,95.49,95.49,13.29451722,101458,4.20331,0.028002,2.149,1.4628,2.160413,0,0,0,0,274,3,0.00862552,79,46.108967,274,2061
23,60035,12.587927,-87.81066761,42.18347977,37.39480424,1.588823958,93.9,36,33.3,86.54,86.54,55.95896078,208309,7.783356,1.461772,1.8326,1.1906,11.712153,0.397206,5,20,5,1711,1022,0.18400636,996,134.874688,16908,30215
24,60037,0.238867,-87.80576026,42.21032325,0,0,99.02356902,39.66599327,22.23131313,61.31306397,66.35516403,30.42374475,119252,0,4.360042,1.706368013,1.226644108,11.330418,0,0,0,0,13,0,0.01041614,19,1.269165,8684.52862,28545.23232
25,60040,0.639924,-87.81348844,42.20554787,11.9266055,0,118.5,37.7,21.4,64.82,64.82,29.06064664,109202,9.007999,3.968233,1.8146,1.4244,19.625971,0,0,0,1,288,39,0.02539272,99,10.906841,1519,5227
26,60041,12.484847,-88.15675424,42.36887299,1.158301158,0.160194194,98.8,41.2,21.6,79.16,79.16,19.30340382,94028,6.562866,0.41407,1.9669,1.1759,6.259668,0.080097,1,2,3,1024,12,0.0516958,512,66.63225,1707,8843
27,60042,4.005973,-88.20084827,42.27523556,3.015075377,0,92.5,43.3,21.9,87.78,87.78,20.03725696,106760,7.670451,0.084434,2.0366,1.3399,11.082791,0,0,0,1,772,24,0.00338242,258,39.394008,1721,8589
28,60043,0.603398,-87.71460671,42.08878357,27.41935484,0,92.5,38.4,19.3,86.44,86.44,54.71028774,250000,8.343916,0.334841,2.0798,1.161,25.547009,0,0,0,0,180,68,0.00202043,74,9.974941,1388,2537
29,60044,7.500042,-87.86786919,42.28675043,15.41666667,0,85.1,36.4,30,79.7,79.7,49.63489436,175083,7.222171,1.669552,1.6744,1.0431,9.739112,0,0,0,0,812,148,0.12521639,377,62.37287,5098,10271
30,60045,21.847284,-87.87077637,42.2385324,22.72496187,0.36617824,94.6,32.6,29.5,85.61,85.61,56.25029538,238505,6.875744,0.594166,1.9935,1.1212,7.367272,0.183089,4,8,6,1520,447,0.12980924,997,156.313264,11902,21159
31,60046,26.326375,-88.06051641,42.41408548,4.99238965,0.113954162,101.9,42.1,19,80.26,80.26,28.51896482,135279,7.188352,0.283256,2.0778,1.4368,7.760249,0.075969,2,3,2,3121,164,0.0745711,1076,182.583753,9940,34854
32,60047,35.699996,-88.04639684,42.20231645,17.76315789,0.11204483,100.9,42.6,22,81.03,81.03,46.11657143,190148,7.111096,1.009177,2.2204,1.4825,9.049733,0.056022,2,4,9,3000,648,0.36027629,1914,313.594251,20176,43750
33,60048,29.632464,-87.94724471,42.29400196,14.36305732,0.877416066,95.1,39.7,24,85.02,85.02,49.1749287,206993,6.901647,1.074862,1.9656,1.2222,6.912358,0.438708,13,26,8,2689,451,0.31850859,1076,188.435479,14483,29452
34,60050,26.14527,-88.2936226,42.33129144,2.685157864,0.19123918,97,42.5,24.2,88.54,88.54,20.42111879,111237,7.104182,1.039387,1.935,1.2703,6.860003,0.191239,5,5,7,3298,91,0.27175081,863,165.252698,6498,31820
35,60051,36.708621,-88.22757486,42.35370905,3.232012312,0.163449343,113.6,42.3,22.6,90.54,90.54,24.81566234,119632,6.465906,0.442065,2.1721,1.2734,5.575542,0.081725,3,6,3,2515,84,0.162276,1036,183.172038,5856,23598
36,60053,5.039841,-87.78888816,42.04237233,15.53333333,0.793675832,98,41.3,28.7,56.57,56.57,38.39421919,125305,8.50565,1.154211,1.8971,1.2939,19.089013,0.396838,2,4,6,1267,233,0.05816993,675,81.596526,9564,24910
37,60056,11.403199,-87.9316531,42.06684424,7.358436332,1.052336279,99.7,40.9,25.1,67.85,67.85,35.48039752,123789,8.510771,1.44023,1.739,1.2832,17.81476,0.438473,5,12,6,3223,256,0.16423232,1416,182.103446,20100,56651
38,60060,22.889346,-88.0380871,42.26630266,7.60346487,0.131065344,102.3,41,23.4,65.5,65.5,31.72281921,119327,7.391536,0.903654,1.9757,1.3966,8.393026,0.087377,2,3,11,2880,237,0.20684009,955,167.018645,11779,37131
39,60061,8.15117,-87.96227236,42.23356999,21.46226415,1.104135971,98.9,42,22.2,63.56,63.56,46.82631693,137068,8.127482,7.259499,1.7363,1.2827,12.552774,0.613409,5,9,4,1332,364,0.59173632,922,87.123101,12925,27602
40,60062,19.809708,-87.84518665,42.12707292,23.2203835,1.766810495,91.7,37.4,33.2,73.85,73.85,53.50680888,185197,7.659348,1.265396,1.8376,1.1654,11.852974,0.757204,15,35,5,2923,884,0.2506711,1847,220.61828,22475,42004
41,60064,5.264477,-87.8628214,42.32249921,0.745712155,0.189952392,110.3,31.1,16.4,23.73,23.73,11.97009103,62232,7.979841,1.503588,1.5263,1.1781,13.49088,0.189952,1,1,1,1331,10,0.07915638,327,56.410422,1841,15380
42,60067,13.459955,-88.06564273,42.10823149,16.78883072,1.040122348,92.6,40.5,26.7,71.62,71.62,44.55706097,152687,7.955573,1.323947,1.871,1.3358,14.889875,0.371472,5,14,2,2384,481,0.17820324,1324,180.627967,17101,38380
